
2024/07/18 (14:57:44) | ===> btop++ v.1.3.2
2024/07/18 (14:57:44) | INFO: Logger set to INFO
2024/07/18 (14:57:45) | INFO: Logger set to DEBUG
2024/07/18 (14:59:40) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/07/18 (14:59:41) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/07/18 (14:59:42) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/07/18 (15:02:34) | DEBUG: Writing new config file
2024/07/18 (15:02:34) | INFO: Quitting! Runtime: 00:07:25

2024/07/30 (20:31:00) | ===> btop++ v.1.3.2
2024/07/30 (20:31:00) | INFO: Logger set to DEBUG
2024/07/30 (20:31:00) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (20:31:00) | INFO: Running on /dev/pts/0
2024/07/30 (20:31:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (20:31:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (20:31:00) | DEBUG: Shared::init() : Initialized.
2024/07/30 (20:31:24) | INFO: Quitting! Runtime: 00:00:24

2024/07/30 (20:32:33) | ===> btop++ v.1.3.2
2024/07/30 (20:32:33) | INFO: Logger set to DEBUG
2024/07/30 (20:32:33) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (20:32:33) | INFO: Running on /dev/pts/0
2024/07/30 (20:32:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (20:32:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (20:32:33) | DEBUG: Shared::init() : Initialized.

2024/07/30 (22:16:40) | ===> btop++ v.1.3.2
2024/07/30 (22:16:40) | INFO: Logger set to DEBUG
2024/07/30 (22:16:40) | DEBUG: Using locale en_US.UTF-8
2024/07/30 (22:16:40) | INFO: Running on /dev/pts/2
2024/07/30 (22:16:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/30 (22:16:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/30 (22:16:40) | DEBUG: Shared::init() : Initialized.

2024/08/04 (10:51:43) | ===> btop++ v.1.3.2
2024/08/04 (10:51:43) | INFO: Logger set to DEBUG
2024/08/04 (10:51:43) | DEBUG: Using locale en_US.UTF-8
2024/08/04 (10:51:43) | INFO: Running on /dev/pts/1
2024/08/04 (10:51:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/04 (10:51:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/04 (10:51:43) | DEBUG: Shared::init() : Initialized.

2024/08/04 (12:53:20) | ===> btop++ v.1.3.2
2024/08/04 (12:53:20) | INFO: Logger set to DEBUG
2024/08/04 (12:53:20) | DEBUG: Using locale en_US.UTF-8
2024/08/04 (12:53:20) | INFO: Running on /dev/pts/1
2024/08/04 (12:53:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/04 (12:53:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/04 (12:53:21) | DEBUG: Shared::init() : Initialized.

2024/08/05 (07:24:00) | ===> btop++ v.1.3.2
2024/08/05 (07:24:00) | INFO: Logger set to DEBUG
2024/08/05 (07:24:00) | DEBUG: Using locale en_US.UTF-8
2024/08/05 (07:24:00) | INFO: Running on /dev/pts/0
2024/08/05 (07:24:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/05 (07:24:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/05 (07:24:00) | DEBUG: Shared::init() : Initialized.

2024/08/05 (07:38:45) | ===> btop++ v.1.3.2
2024/08/05 (07:38:45) | INFO: Logger set to DEBUG
2024/08/05 (07:38:45) | DEBUG: Using locale en_US.UTF-8
2024/08/05 (07:38:45) | INFO: Running on /dev/pts/1
2024/08/05 (07:38:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/05 (07:38:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/05 (07:38:45) | DEBUG: Shared::init() : Initialized.

2024/08/11 (18:34:16) | ===> btop++ v.1.3.2
2024/08/11 (18:34:16) | INFO: Logger set to DEBUG
2024/08/11 (18:34:16) | DEBUG: Using locale en_US.UTF-8
2024/08/11 (18:34:16) | INFO: Running on /dev/pts/1
2024/08/11 (18:34:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/11 (18:34:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/11 (18:34:16) | DEBUG: Shared::init() : Initialized.

2024/08/12 (08:33:02) | ===> btop++ v.1.3.2
2024/08/12 (08:33:02) | INFO: Logger set to DEBUG
2024/08/12 (08:33:02) | DEBUG: Using locale en_US.UTF-8
2024/08/12 (08:33:02) | INFO: Running on /dev/pts/0
2024/08/12 (08:33:02) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/12 (08:33:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/12 (08:33:02) | DEBUG: Shared::init() : Initialized.
2024/08/12 (08:33:07) | INFO: Quitting! Runtime: 00:00:05

2024/08/18 (14:09:12) | ===> btop++ v.1.3.2
2024/08/18 (14:09:12) | INFO: Logger set to DEBUG
2024/08/18 (14:09:12) | DEBUG: Using locale en_US.UTF-8
2024/08/18 (14:09:12) | INFO: Running on /dev/pts/0
2024/08/18 (14:09:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/18 (14:09:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/18 (14:09:12) | DEBUG: Shared::init() : Initialized.

2024/09/05 (10:31:11) | ===> btop++ v.1.3.2
2024/09/05 (10:31:11) | INFO: Logger set to DEBUG
2024/09/05 (10:31:11) | DEBUG: Using locale en_US.UTF-8
2024/09/05 (10:31:11) | INFO: Running on /dev/pts/0
2024/09/05 (10:31:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/05 (10:31:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/05 (10:31:11) | DEBUG: Shared::init() : Initialized.
2024/09/05 (10:31:24) | INFO: Quitting! Runtime: 00:00:13

2024/09/11 (22:42:34) | ===> btop++ v.1.3.2
2024/09/11 (22:42:34) | INFO: Logger set to DEBUG
2024/09/11 (22:42:34) | DEBUG: Using locale en_US.UTF-8
2024/09/11 (22:42:34) | INFO: Running on /dev/pts/4
2024/09/11 (22:42:34) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/11 (22:42:34) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/11 (22:42:34) | DEBUG: Shared::init() : Initialized.

2024/09/14 (19:58:45) | ===> btop++ v.1.3.2
2024/09/14 (19:58:45) | INFO: Logger set to DEBUG
2024/09/14 (19:58:45) | DEBUG: Using locale en_US.UTF-8
2024/09/14 (19:58:45) | INFO: Running on /dev/pts/1
2024/09/14 (19:58:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/14 (19:58:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/14 (19:58:45) | DEBUG: Shared::init() : Initialized.

2024/09/19 (00:24:30) | ===> btop++ v.1.3.2
2024/09/19 (00:24:30) | INFO: Logger set to DEBUG
2024/09/19 (00:24:30) | DEBUG: Using locale en_US.UTF-8
2024/09/19 (00:24:30) | INFO: Running on /dev/pts/1
2024/09/19 (00:24:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/19 (00:24:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/19 (00:24:30) | DEBUG: Shared::init() : Initialized.

2024/09/23 (12:14:49) | ===> btop++ v.1.4.0
2024/09/23 (12:14:49) | INFO: Logger set to DEBUG
2024/09/23 (12:14:49) | DEBUG: Using locale en_US.UTF-8
2024/09/23 (12:14:49) | INFO: Running on /dev/pts/0
2024/09/23 (12:14:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/23 (12:14:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/23 (12:14:49) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/23 (12:14:49) | DEBUG: Shared::init() : Initialized.

2024/09/24 (12:07:28) | ===> btop++ v.1.4.0
2024/09/24 (12:07:28) | INFO: Logger set to DEBUG
2024/09/24 (12:07:28) | DEBUG: Using locale en_US.UTF-8
2024/09/24 (12:07:28) | INFO: Running on /dev/pts/1
2024/09/24 (12:07:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/24 (12:07:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/24 (12:07:28) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/24 (12:07:28) | DEBUG: Shared::init() : Initialized.
2024/09/24 (12:07:29) | DEBUG: Writing new config file
2024/09/24 (12:07:29) | INFO: Quitting! Runtime: 00:00:01

2024/09/24 (18:20:21) | ===> btop++ v.1.4.0
2024/09/24 (18:20:21) | INFO: Logger set to DEBUG
2024/09/24 (18:20:21) | DEBUG: Using locale en_US.UTF-8
2024/09/24 (18:20:21) | INFO: Running on /dev/pts/0
2024/09/24 (18:20:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/24 (18:20:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/24 (18:20:21) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/24 (18:20:21) | DEBUG: Shared::init() : Initialized.
2024/09/24 (18:20:31) | INFO: Quitting! Runtime: 00:00:10

2024/09/27 (14:40:45) | ===> btop++ v.1.4.0
2024/09/27 (14:40:45) | INFO: Logger set to DEBUG
2024/09/27 (14:40:45) | DEBUG: Using locale en_US.UTF-8
2024/09/27 (14:40:45) | INFO: Running on /dev/pts/0
